Key,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Conference Name
1028,preprint,2026,"NVIDIA; Wang, Yan; Luo, Wenjie; Bai, Junjie; Cao, Yulong; Che, Tong; Chen, Ke; Chen, Yuxiao; Diamond, Jenna; Ding, Yifan; Ding, Wenhao; Feng, Liang; Heinrich, Greg; Huang, Jack; Karkus, Peter; Li, Boyi; Li, Pinyi; Lin, Tsung-Yi; Liu, Dongran; Liu, Ming-Yu; Liu, Langechuan; Liu, Zhijian; Lu, Jason; Mao, Yunxiang; Molchanov, Pavlo; Pavao, Lindsey; Peng, Zhenghao; Ranzinger, Mike; Schmerling, Ed; Shen, Shida; Shi, Yunfei; Tariq, Sarah; Tian, Ran; Wekel, Tilman; Weng, Xinshuo; Xiao, Tianjun; Yang, Eric; Yang, Xiaodong; You, Yurong; Zeng, Xiaohui; Zhang, Wenyuan; Ivanovic, Boris; Pavone, Marco",Alpamayo-R1: Bridging Reasoning and Action Prediction for Generalizable Autonomous Driving in the Long Tail,,10.48550/arXiv.2511.00088,http://arxiv.org/abs/2511.00088,
1520,computerProgram,2026,"Dong, Jinhan",Pendulumclock/FlightGPT,,,https://github.com/Pendulumclock/FlightGPT,
2142,preprint,2026,"Liu, Tiedong; Lee, Wee Sun",Can Vision-Language Models Solve the Shell Game?,,10.48550/arXiv.2603.08436,http://arxiv.org/abs/2603.08436,
2145,preprint,2026,"Clark, Christopher; Zhang, Jieyu; Ma, Zixian; Park, Jae Sung; Salehi, Mohammadreza; Tripathi, Rohun; Lee, Sangho; Ren, Zhongzheng; Kim, Chris Dongjoo; Yang, Yinuo; Shao, Vincent; Yang, Yue; Huang, Weikai; Gao, Ziqi; Anderson, Taira; Zhang, Jianrui; Jain, Jitesh; Stoica, George; Han, Winson; Farhadi, Ali; Krishna, Ranjay",Molmo2: Open Weights and Data for Vision-Language Models with Video Understanding and Grounding,,10.48550/arXiv.2601.10611,http://arxiv.org/abs/2601.10611,
2173,preprint,2026,"Xu, Peng; Deng, Zhengnan; Deng, Jiayan; Gu, Zonghua; Wan, Shaohua",AerialVLA: A Vision-Language-Action Model for UAV Navigation via Minimalist End-to-End Control,,10.48550/arXiv.2603.14363,http://arxiv.org/abs/2603.14363,
2346,preprint,2026,"NVIDIA; Wang, Yan; Luo, Wenjie; Bai, Junjie; Cao, Yulong; Che, Tong; Chen, Ke; Chen, Yuxiao; Diamond, Jenna; Ding, Yifan; Ding, Wenhao; Feng, Liang; Heinrich, Greg; Huang, Jack; Karkus, Peter; Li, Boyi; Li, Pinyi; Lin, Tsung-Yi; Liu, Dongran; Liu, Ming-Yu; Liu, Langechuan; Liu, Zhijian; Lu, Jason; Mao, Yunxiang; Molchanov, Pavlo; Pavao, Lindsey; Peng, Zhenghao; Ranzinger, Mike; Schmerling, Ed; Shen, Shida; Shi, Yunfei; Tariq, Sarah; Tian, Ran; Wekel, Tilman; Weng, Xinshuo; Xiao, Tianjun; Yang, Eric; Yang, Xiaodong; You, Yurong; Zeng, Xiaohui; Zhang, Wenyuan; Ivanovic, Boris; Pavone, Marco",Alpamayo-R1: Bridging Reasoning and Action Prediction for Generalizable Autonomous Driving in the Long Tail,,10.48550/arXiv.2511.00088,http://arxiv.org/abs/2511.00088,
2413,preprint,2026,"Cai, Hengxing; Rao, Yijie; Huang, Ligang; Zhong, Zanyang; Dong, Jinhan; Tan, Jingjun; Lu, Wenhao; Zhong, Renxin",AirNav: A Large-Scale Real-World UAV Vision-and-Language Navigation Dataset with Natural and Diverse Instructions,,10.48550/arXiv.2601.03707,http://arxiv.org/abs/2601.03707,
2470,preprint,2026,"Qu, Kevin; Qi, Haozhe; Dusmanu, Mihai; Rad, Mahdi; Wang, Rui; Pollefeys, Marc",Loc3R-VLM: Language-based Localization and 3D Reasoning with Vision-Language Models,,10.48550/arXiv.2603.18002,http://arxiv.org/abs/2603.18002,
2478,journalArticle,2026,"Xu, Haotian; Hu, Yue; Gao, Chen; Zhu, Zhengqiu; Zhao, Yong; Yin, Quanjun",GeoNav: Empowering MLLMs with dual-scale geospatial reasoning for language-goal aerial navigation,Pattern Recognition,10.1016/j.patcog.2026.113365,https://linkinghub.elsevier.com/retrieve/pii/S0031320326003304,
2507,preprint,2026,"Jeon, Byungwoo; Kim, Dongyoung; Jang, Huiwon; Kim, Insoo; Shin, Jinwoo",SpatialBoost: Enhancing Visual Representation through Language-Guided Reasoning,,10.48550/arXiv.2603.22057,http://arxiv.org/abs/2603.22057,
