Key,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Date,Conference Name,Manual Tags
1050,preprint,2025,"Liu, Chengxu; Qi, Lu; Pan, Jinshan; Qian, Xueming; Yang, Ming-Hsuan",Frequency Domain-Based Diffusion Model for Unpaired Image Dehazing,,10.48550/arXiv.2507.01275,http://arxiv.org/abs/2507.01275,,2025,,Computer Science - Computer Vision and Pattern Recognition
1500,journalArticle,2025,"Tang, Xiaole; Gu, Xiang; He, Xiaoyi; Hu, Xin; Sun, Jian",Degradation-Aware Residual-Conditioned Optimal Transport for Unified Image Restoration,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/TPAMI.2025.3562211,https://ieeexplore.ieee.org/document/10970105/,,2025,,Image restoration; Degradation; Training; Adaptation models; All-in-one image restoration; Atmospheric modeling; Computational modeling; conditional generative models; Costs; Distortion measurement; optimal transport; Semantics; structure preservation; Translation
1524,bookSection,2025,"Cho, Minsu; Laptev, Ivan; Tran, Du; Yao, Angela; Zha, Hongbin; Elezabi, Omar; Wu, Zongwei; Timofte, Radu",Enhanced Super-Resolution Training via Mimicked Alignment for Real-World Scenes,,10.1007/978-981-96-0911-6_14,https://link.springer.com/10.1007/978-981-96-0911-6_14,,2025,,
1669,preprint,2025,"Ren, Dongwei; Shu, Xinya; Li, Yu; Wu, Xiaohe; Li, Jin; Zuo, Wangmeng",Reblurring-Guided Single Image Defocus Deblurring: A Learning Framework with Misaligned Training Pairs,,10.48550/arXiv.2409.17792,http://arxiv.org/abs/2409.17792,,2025,,Computer Science - Computer Vision and Pattern Recognition
57,preprint,2025,"Bae, Sangmin; Fisch, Adam; Harutyunyan, Hrayr; Ji, Ziwei; Kim, Seungyeon; Schuster, Tal",Relaxed Recursive Transformers: Effective Parameter Sharing with Layer-wise LoRA,,10.48550/arXiv.2410.20672,http://arxiv.org/abs/2410.20672,,2025,,Computer Science - Machine Learning; Computer Science - Computation and Language
356,preprint,2025,"Kerssies, Tommie; Cavagnero, Niccolò; Hermans, Alexander; Norouzi, Narges; Averta, Giuseppe; Leibe, Bastian; Dubbelman, Gijs; Geus, Daan de",Your ViT is Secretly an Image Segmentation Model,,10.48550/arXiv.2503.19108,http://arxiv.org/abs/2503.19108,,2025,,Computer Science - Computer Vision and Pattern Recognition
333,preprint,2024,"Shu, Xinya; Li, Yu; Ren, Dongwei; Wu, Xiaohe; Li, Jin; Zuo, Wangmeng",Reblurring-Guided Single Image Defocus Deblurring: A Learning Framework with Misaligned Training Pairs,,10.48550/arXiv.2409.17792,http://arxiv.org/abs/2409.17792,,2024,,Computer Science - Computer Vision and Pattern Recognition
1493,conferencePaper,2024,"Ni, Zhangkai; Wu, Juncheng; Wang, Zian; Yang, Wenhan; Wang, Hanli; Ma, Lin",Misalignment-Robust Frequency Distribution Loss for Image Transformation,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/CVPR52733.2024.00281,https://ieeexplore.ieee.org/document/10657652/,,2024,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),
326,preprint,2024,"Darcet, Timothée; Oquab, Maxime; Mairal, Julien; Bojanowski, Piotr",Vision Transformers Need Registers,,10.48550/arXiv.2309.16588,http://arxiv.org/abs/2309.16588,,2024,,Computer Science - Computer Vision and Pattern Recognition
1523,conferencePaper,2023,"Feng, Ruicheng; Li, Chongyi; Chen, Huaijin; Li, Shuai; Gu, Jinwei; Loy, Chen Change",Generating Aligned Pseudo-Supervision from Non-Aligned Data for Image Restoration in Under-Display Camera,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/CVPR52729.2023.00485,https://ieeexplore.ieee.org/document/10204867/,,2023,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),
1714,preprint,2023,"Li, Fangda; Hu, Zhiqiang; Chen, Wen; Kak, Avinash",Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,,10.48550/arXiv.2303.06193,http://arxiv.org/abs/2303.06193,,2023,,Computer Science - Computer Vision and Pattern Recognition
360,preprint,2023,"Assran, Mahmoud; Duval, Quentin; Misra, Ishan; Bojanowski, Piotr; Vincent, Pascal; Rabbat, Michael; LeCun, Yann; Ballas, Nicolas",Self-Supervised Learning from Images with a Joint-Embedding Predictive Architecture,,10.48550/arXiv.2301.08243,http://arxiv.org/abs/2301.08243,,2023,,Computer Science - Computer Vision and Pattern Recognition; Computer Science - Machine Learning; Electrical Engineering and Systems Science - Image and Video Processing; Computer Science - Artificial Intelligence
332,webpage,,,Digital Staining with Knowledge Distillation: A Unified Framework for Unpaired and Paired-But-Misaligned Data,,,https://www.alphaxiv.org/abs/2504.09899v1,,,,
1525,journalArticle,,"Liu, Yong; Dong, Hang; Pan, Jinshan; Dong, Qingji; Chen, Kai; Zhang, Rongxiang; Fu, Lean; Wang, Fei",PatchScaler: An Efficient Patch-Independent Diffusion Model for Image Super-Resolution,,,,,,,
1718,journalArticle,,"Zhang, Yuchen; Keetha, Nikhil; Lyu, Chenwei; Jhamb, Bhuvan; Chen, Yutian; Qiu, Yuheng; Karhade, Jay; Jha, Shreyas; Hu, Yaoyu; Ramanan, Deva; Scherer, Sebastian; Wang, Wenshan",UFM: A Simple Path towards Unified Dense Correspondence with Flow,,,,,,,
