Key,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Conference Name
269,preprint,2025,"Shen, Hui; Zhang, Jingxuan; Xiong, Boning; Hu, Rui; Chen, Shoufa; Wan, Zhongwei; Wang, Xin; Zhang, Yu; Gong, Zixuan; Bao, Guangyin; Tao, Chaofan; Huang, Yongfeng; Yuan, Ye; Zhang, Mi",Efficient Diffusion Models: A Survey,,10.48550/arXiv.2502.06805,http://arxiv.org/abs/2502.06805,
270,preprint,2025,"Shen, Hui; Zhang, Jingxuan; Xiong, Boning; Hu, Rui; Chen, Shoufa; Wan, Zhongwei; Wang, Xin; Zhang, Yu; Gong, Zixuan; Bao, Guangyin; Tao, Chaofan; Huang, Yongfeng; Yuan, Ye; Zhang, Mi",Efficient Diffusion Models: A Survey,,10.48550/arXiv.2502.06805,http://arxiv.org/abs/2502.06805,
23,preprint,2025,"Becker, Alexander; Daudt, Rodrigo Caye; Narnhofer, Dominik; Peters, Torben; Metzger, Nando; Wegner, Jan Dirk; Schindler, Konrad",Thera: Aliasing-Free Arbitrary-Scale Super-Resolution with Neural Heat Fields,,10.48550/arXiv.2311.17643,http://arxiv.org/abs/2311.17643,
48,preprint,2025,"Ma, Nanye; Tong, Shangyuan; Jia, Haolin; Hu, Hexiang; Su, Yu-Chuan; Zhang, Mingda; Yang, Xuan; Li, Yandong; Jaakkola, Tommi; Jia, Xuhui; Xie, Saining",Inference-Time Scaling for Diffusion Models beyond Scaling Denoising Steps,,10.48550/arXiv.2501.09732,http://arxiv.org/abs/2501.09732,
63,preprint,2025,"Xu, Zihao; Tang, Yuzhi; Xu, Bowen; Li, Qingquan",NeurOp-Diff:Continuous Remote Sensing Image Super-Resolution via Neural Operator Diffusion,,10.48550/arXiv.2501.09054,http://arxiv.org/abs/2501.09054,
72,journalArticle,2025,"Chen, Chen; Liu, Daochang; Shah, Mubarak; Xu, Chang",EXPLORING LOCAL MEMORIZATION IN DIFFUSION MODELS VIA BRIGHT ENDING ATTENTION,,,,
77,preprint,2025,"Yu, Sihyun; Kwak, Sangkyung; Jang, Huiwon; Jeong, Jongheon; Huang, Jonathan; Shin, Jinwoo; Xie, Saining",Representation Alignment for Generation: Training Diffusion Transformers Is Easier Than You Think,,10.48550/arXiv.2410.06940,http://arxiv.org/abs/2410.06940,
199,preprint,2025,"Kouzelis, Theodoros; Karypidis, Efstathios; Kakogeorgiou, Ioannis; Gidaris, Spyros; Komodakis, Nikos",Boosting Generative Image Modeling via Joint Image-Feature Synthesis,,10.48550/arXiv.2504.16064,http://arxiv.org/abs/2504.16064,
211,preprint,2025,"Daras, Giannis; Rodriguez-Munoz, Adrian; Klivans, Adam; Torralba, Antonio; Daskalakis, Constantinos",Ambient Diffusion Omni: Training Good Models with Bad Data,,10.48550/arXiv.2506.10038,http://arxiv.org/abs/2506.10038,
227,journalArticle,2025,"He, Chunming; Shen, Yuqi; Fang, Chengyu; Xiao, Fengyang; Tang, Longxiang; Zhang, Yulun; Zuo, Wangmeng; Guo, Zhenhua; Li, Xiu",Diffusion Models in Low-Level Vision: A Survey,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/TPAMI.2025.3545047,https://ieeexplore.ieee.org/abstract/document/10902142,
244,preprint,2025,"Jain, Vineet; Sareen, Kusha; Pedramfar, Mohammad; Ravanbakhsh, Siamak",Diffusion Tree Sampling: Scalable inference-time alignment of diffusion models,,10.48550/arXiv.2506.20701,http://arxiv.org/abs/2506.20701,
