Key,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Conference Name
167,journalArticle,2024,"Zhang, Tongtong; Li, Yuanxiang; Wei, Xian",rpcPRF: Generalizable MPI Neural Radiance Field for Satellite Camera With Single and Sparse Views,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,,
168,preprint,2024,"Zhang, Tongtong; Li, Yuanxiang",psPRF:Pansharpening Planar Neural Radiance Field for Generalized 3D Reconstruction Satellite Imagery,,10.48550/arXiv.2406.15707,http://arxiv.org/abs/2406.15707,
233,conferencePaper,2023,"Marí, Roger; Facciolo, Gabriele; Ehret, Thibaud",Multi-Date Earth Observation NeRF: The Detail Is in the Shadows,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),10.1109/CVPRW59228.2023.00197,https://ieeexplore.ieee.org/document/10209050/,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
171,preprint,2021,"Recla, Michael; Schmitt, Michael",Deep-Learning-Based Single-Image Height Reconstruction from Very-High-Resolution SAR Intensity Data,,10.48550/arXiv.2111.02061,http://arxiv.org/abs/2111.02061,
175,preprint,2021,"Derksen, Dawa; Izzo, Dario",Shadow Neural Radiance Fields for Multi-view Satellite Photogrammetry,,10.48550/arXiv.2104.09877,http://arxiv.org/abs/2104.09877,
172,journalArticle,2020,"Ji, Shunping; Yu, Dawen; Shen, Chaoyong; Li, Weile; Xu, Qiang",Landslide detection from an open satellite imagery and digital elevation model dataset using attention boosted convolutional neural networks,Landslides,10.1007/s10346-020-01353-2,http://link.springer.com/10.1007/s10346-020-01353-2,
166,journalArticle,,"Shao, Ruizhe; Wu, JiangJiang; Li, Jun; Peng, Shuang; Chen, Hao; Du, Chun",SingleRecon: Reconstructing Building 3-D Models of LoD1 From a Single Off-Nadir Remote Sensing Image,,,,
169,journalArticle,,"Pic, Emilie; Ehret, Thibaud; Facciolo, Gabriele; Marı, Roger",Pseudo Pansharpening NeRF for Satellite Image Collections,,,,
170,journalArticle,,"Mari, Roger; Facciolo, Gabriele; Ehret, Thibaud",Multi-Date Earth Observation NeRF: The Detail Is in the Shadows,,,,
173,journalArticle,,"Behari, Nikhil; Dave, Akshat; Tiwary, Kushagra; Yang, William; Raskar, Ramesh",SUNDIAL: 3D Satellite Understanding through Direct Ambient and Complex Lighting Decomposition,,,,
174,journalArticle,,"Mari, Roger; Facciolo, Gabriele; Ehret, Thibaud",Multi-Date Earth Observation NeRF: The Detail Is in the Shadows,,,,
234,journalArticle,,"Masquil, Elias; Mari, Roger; Ehret, Thibaud; Meinhardt-Llopis, Enric; Muse, Pablo; Facciolo, Gabriele",S-EO: A Large-Scale Dataset for Geometry-Aware Shadow Detection in Remote Sensing Applications,,,,
