Key,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Conference Name
1,preprint,2025,"Mehrabian, Ali; Adi, Parsa Mojarad; Heidari, Moein; Hacihaliloglu, Ilker",Implicit Neural Representations with Fourier Kolmogorov-Arnold Networks,,10.48550/arXiv.2409.09323,http://arxiv.org/abs/2409.09323,
53,preprint,2025,"Essakine, Amer; Cheng, Yanqi; Cheng, Chun-Wun; Zhang, Lipei; Deng, Zhongying; Zhu, Lei; Schönlieb, Carola-Bibiane; Aviles-Rivero, Angelica I.",Where Do We Stand with Implicit Neural Representations? A Technical and Performance Survey,,10.48550/arXiv.2411.03688,http://arxiv.org/abs/2411.03688,
56,preprint,2025,"Heidari, Moein; Rezaeian, Reza; Azad, Reza; Merhof, Dorit; Soltanian-Zadeh, Hamid; Hacihaliloglu, Ilker",SL$^{2}$A-INR: Single-Layer Learnable Activation for Implicit Neural Representation,,10.48550/arXiv.2409.10836,http://arxiv.org/abs/2409.10836,
75,preprint,2025,"Byra, Michal; Skibbe, Henrik",Generating visual explanations from deep networks using implicit neural representations,,10.48550/arXiv.2501.11784,http://arxiv.org/abs/2501.11784,
76,preprint,2025,"Kim, Jina; Lee, Jihoo; Kang, Je-Won",SNeRV: Spectra-preserving Neural Representation for Video,,10.1007/978-3-031-73001-6_19,http://arxiv.org/abs/2501.01681,
183,preprint,2025,"Tian, Xuanyu; Chen, Lixuan; Wu, Qing; Du, Chenhe; Shi, Jingjing; Wei, Hongjiang; Zhang, Yuyao",Unsupervised Self-Prior Embedding Neural Representation for Iterative Sparse-View CT Reconstruction,,10.48550/arXiv.2502.05445,http://arxiv.org/abs/2502.05445,
188,preprint,2025,"Kayabasi, Alper; Vadathya, Anil Kumar; Balakrishnan, Guha; Saragadam, Vishwanath",Bias for Action: Video Implicit Neural Representations with Bias Modulation,,10.48550/arXiv.2501.09277,http://arxiv.org/abs/2501.09277,
228,preprint,2025,"Cheng, Yanqi; Zeng, Tieyong; Lio, Pietro; Schönlieb, Carola-Bibiane; Aviles-Rivero, Angelica I.",Deep Spectral Prior,,10.48550/arXiv.2505.19873,http://arxiv.org/abs/2505.19873,
311,preprint,2025,"Han, Woo Kyoung; Lee, Byeonghun; Cho, Hyunmin; Im, Sunghoon; Jin, Kyong Hwan",Towards Lossless Implicit Neural Representation via Bit Plane Decomposition,,10.48550/arXiv.2502.21001,http://arxiv.org/abs/2502.21001,
321,preprint,2025,"Haider, Ali; Ali, Muhammad Salman; Qamar, Maryam; Khalil, Tahir; Kim, Soo Ye; Oh, Jihyong; Tartaglione, Enzo; Bae, Sung-Ho",I-INR: Iterative Implicit Neural Representations,,10.48550/arXiv.2504.17364,http://arxiv.org/abs/2504.17364,
337,preprint,2025,"Zhang, Weixiang; Xie, Shuzhao; Ren, Chengwei; Ge, Shijia; Wang, Mingzi; Wang, Zhi",Enhancing Implicit Neural Representations via Symmetric Power Transformation,,10.48550/arXiv.2412.09213,http://arxiv.org/abs/2412.09213,
344,preprint,2025,"Zhang, Weixiang; Xie, Shuzhao; Ren, Chengwei; Xie, Siyi; Tang, Chen; Ge, Shijia; Wang, Mingzi; Wang, Zhi",EVOS: Efficient Implicit Neural Training via EVOlutionary Selector,,10.48550/arXiv.2412.10153,http://arxiv.org/abs/2412.10153,
2,preprint,2024,"Padmanabhan, Namitha; Gwilliam, Matthew; Kumar, Pulkit; Maiya, Shishira R.; Ehrlich, Max; Shrivastava, Abhinav",Explaining the Implicit Neural Canvas: Connecting Pixels to Neurons by Tracing their Contributions,,10.48550/arXiv.2401.10217,http://arxiv.org/abs/2401.10217,
3,preprint,2024,"Gao, Rui; Jaiman, Rajeev K.",H-SIREN: Improving implicit neural representations with hyperbolic periodic functions,,10.48550/arXiv.2410.04716,http://arxiv.org/abs/2410.04716,
4,preprint,2024,"Zhang, Shuyi; Liu, Ke; Gu, Jingjun; Cai, Xiaoxu; Wang, Zhihua; Bu, Jiajun; Wang, Haishuai",Attention Beats Linear for Fast Implicit Neural Representation Generation,,10.48550/arXiv.2407.15355,http://arxiv.org/abs/2407.15355,
5,preprint,2024,"Ben-Shabat, Yizhak; Koneputugodage, Chamin Hewa; Ramasinghe, Sameera; Gould, Stephen",Neural Experts: Mixture of Experts for Implicit Neural Representations,,10.48550/arXiv.2410.21643,http://arxiv.org/abs/2410.21643,
7,preprint,2024,"Delbracio, Mauricio; Milanfar, Peyman",Inversion by Direct Iteration: An Alternative to Denoising Diffusion for Image Restoration,,10.48550/arXiv.2303.11435,http://arxiv.org/abs/2303.11435,
29,preprint,2024,"Cai, Zhicheng",Conv-INR: Convolutional Implicit Neural Representation for Multimodal Visual Signals,,10.48550/arXiv.2406.04249,http://arxiv.org/abs/2406.04249,
31,conferencePaper,2024,"Shabanov, Akhmedkhan Ahan; Govindarajan, Shrisudhan; Reading, Cody; Goli, Lily; Rebain, Daniel; Yi, Kwang Moo; Tagliasacchi, Andrea",BANF: Band-Limited Neural Fields for Levels of Detail Reconstruction,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/CVPR52733.2024.01944,https://ieeexplore.ieee.org/document/10658398/,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)
54,preprint,2024,"Zhao, Jiaming; Qiao, Wenbo; Zhang, Peng; Gao, Hui",Quantum Implicit Neural Representations,,10.48550/arXiv.2406.03873,http://arxiv.org/abs/2406.03873,
58,preprint,2024,"Li, Jason Chun Lok; Luo, Steven Tin Sui; Xu, Le; Wong, Ngai",ASMR: Activation-sharing Multi-resolution Coordinate Networks For Efficient Inference,,10.48550/arXiv.2405.12398,http://arxiv.org/abs/2405.12398,
59,preprint,2024,"Chen, Hanqiu; Yao, Xuebin; Subedi, Pradeep; Hao, Cong",Residual-INR: Communication Efficient On-Device Learning Using Implicit Neural Representation,,10.48550/arXiv.2408.05617,http://arxiv.org/abs/2408.05617,
61,preprint,2024,"Berman, Jules; Peherstorfer, Benjamin",CoLoRA: Continuous low-rank adaptation for reduced implicit neural modeling of parameterized partial differential equations,,10.48550/arXiv.2402.14646,http://arxiv.org/abs/2402.14646,
67,preprint,2024,"Becker, Alexander; Daudt, Rodrigo Caye; Metzger, Nando; Wegner, Jan Dirk; Schindler, Konrad",Neural Fields with Thermal Activations for Arbitrary-Scale Super-Resolution,,10.48550/arXiv.2311.17643,http://arxiv.org/abs/2311.17643,
73,conferencePaper,2024,"Chen, Chen; Liu, Daochang; Shah, Mubarak; Xu, Chang",Exploring Local Memorization in Diffusion Models via Bright Ending Attention,,,https://openreview.net/forum?id=p4cLtzk4oe&referrer=%5BAuthor%20Console%5D(%2Fgroup%3Fid%3DICLR.cc%2F2025%2FConference%2FAuthors%23your-submissions),The Thirteenth International Conference on Learning Representations
80,preprint,2024,"Ekanayake, Mevan; Chen, Zhifeng; Egan, Gary; Harandi, Mehrtash; Chen, Zhaolin",SeCo-INR: Semantically Conditioned Implicit Neural Representations for Improved Medical Image Super-Resolution,,10.48550/arXiv.2409.01013,http://arxiv.org/abs/2409.01013,
306,conferencePaper,2024,"Thamizharasan, Vikas; Liu, Difan; Fisher, Matthew; Zhao, Nanxuan; Kalogerakis, Evangelos; Lukáč, Michal",NIVeL: Neural Implicit Vector Layers for Text-to-Vector Generation,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/CVPR52733.2024.00439,https://ieeexplore.ieee.org/document/10657860/,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)
338,conferencePaper,2024,"Catania, Lorenzo; Allegra, Dario",Redefining Visual Quality: The Impact of Loss Functions on INR-Based Image Compression,2024 IEEE International Conference on Image Processing (ICIP),10.1109/ICIP51287.2024.10647328,https://ieeexplore.ieee.org/document/10647328/,2024 IEEE International Conference on Image Processing (ICIP)
346,journalArticle,2024,"Czerkawski, Mikolaj; Cardona, Javier; Atkinson, Robert; Michie, Craig; Andonovic, Ivan; Clemente, Carmine; Tachtatzis, Christos",Neural Knitworks: Patched neural implicit representation networks,Pattern Recognition,10.1016/j.patcog.2024.110378,https://linkinghub.elsevier.com/retrieve/pii/S0031320324001298,
359,preprint,2024,"Zhang, Chen; Luo, Steven Tin Sui; Li, Jason Chun Lok; Wu, Yik-Chung; Wong, Ngai",Nonparametric Teaching of Implicit Neural Representations,,10.48550/arXiv.2405.10531,http://arxiv.org/abs/2405.10531,
366,preprint,2024,"Gupta, Vinayak; S, Manoj; T, Mukund Varma; Mitra, Kaushik",U2NeRF: Unsupervised Underwater Image Restoration and Neural Radiance Fields,,10.48550/arXiv.2411.16172,http://arxiv.org/abs/2411.16172,
367,conferencePaper,2024,"Chen, Xiang; Pan, Jinshan; Dong, Jiangxin",Bidirectional Multi-Scale Implicit Neural Representations for Image Deraining,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/CVPR52733.2024.02421,https://ieeexplore.ieee.org/document/10658243/,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)
368,preprint,2024,"Cai, Zhicheng; Shen, Qiu",Encoding Semantic Priors into the Weights of Implicit Neural Representation,,10.48550/arXiv.2406.04178,http://arxiv.org/abs/2406.04178,
30,preprint,2023,"Bauer, Matthias; Dupont, Emilien; Brock, Andy; Rosenbaum, Dan; Schwarz, Jonathan Richard; Kim, Hyunjik",Spatial Functa: Scaling Functa to ImageNet Classification and Generation,,10.48550/arXiv.2302.03130,http://arxiv.org/abs/2302.03130,
64,preprint,2023,"Wei, Min; Zhang, Xuesong",Super-Resolution Neural Operator,,10.48550/arXiv.2303.02584,http://arxiv.org/abs/2303.02584,
65,preprint,2023,"Kwon, Sehyun; Choi, Joo Young; Ryu, Ernest K.",Rotation and Translation Invariant Representation Learning with Implicit Neural Representations,,10.48550/arXiv.2304.13995,http://arxiv.org/abs/2304.13995,
70,preprint,2023,"Kazerouni, Amirhossein; Azad, Reza; Hosseini, Alireza; Merhof, Dorit; Bagci, Ulas",INCODE: Implicit Neural Conditioning with Prior Knowledge Embeddings,,10.48550/arXiv.2310.18846,http://arxiv.org/abs/2310.18846,
177,conferencePaper,2023,"Li, Zhemin; Wang, Hongxia; Meng, Deyu",Regularize implicit neural representation by itself,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/CVPR52729.2023.00991,https://ieeexplore.ieee.org/document/10204036/,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)
179,preprint,2023,"Liu, Zhen; Zhu, Hao; Zhang, Qi; Fu, Jingde; Deng, Weibing; Ma, Zhan; Guo, Yanwen; Cao, Xun",FINER: Flexible spectral-bias tuning in Implicit NEural Representation by Variable-periodic Activation Functions,,10.48550/arXiv.2312.02434,http://arxiv.org/abs/2312.02434,
180,preprint,2023,"Wang, Peng; Liu, Yuan; Chen, Zhaoxi; Liu, Lingjie; Liu, Ziwei; Komura, Taku; Theobalt, Christian; Wang, Wenping",F$^{2}$-NeRF: Fast Neural Radiance Field Training with Free Camera Trajectories,,10.48550/arXiv.2303.15951,http://arxiv.org/abs/2303.15951,
