Key,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Conference Name
2598,preprint,2026,"Yue, Lu; Fan, Yue; Lian, Shiwei; Zhao, Yu; Yu, Jiaxin; Xie, Liang; Zhang, Feitian",Spatial-VLN: Zero-Shot Vision-and-Language Navigation With Explicit Spatial Perception and Exploration,,10.48550/ARXIV.2601.12766,https://arxiv.org/abs/2601.12766,
2603,preprint,2026,"Huang, Shiqi; He, Shuting; Wen, Bihan",RSGround-R1: Rethinking Remote Sensing Visual Grounding through Spatial Reasoning,,10.48550/ARXIV.2601.21634,https://arxiv.org/abs/2601.21634,
2604,preprint,2026,"Qu, Kevin; Qi, Haozhe; Dusmanu, Mihai; Rad, Mahdi; Wang, Rui; Pollefeys, Marc",Loc3R-VLM: Language-based Localization and 3D Reasoning with Vision-Language Models,,10.48550/ARXIV.2603.18002,https://arxiv.org/abs/2603.18002,
2607,preprint,2026,"Wang, Di; Liu, Shunyu; Jiang, Wentao; Wang, Fengxiang; Liu, Yi; Qin, Xiaolei; Luo, Zhiming; Zhou, Chaoyang; Guo, Haonan; Zhang, Jing; Du, Bo; Tao, Dacheng; Zhang, Liangpei",GeoZero: Incentivizing Reasoning from Scratch on Geospatial Scenes,,10.48550/arXiv.2511.22645,http://arxiv.org/abs/2511.22645,
12,journalArticle,2025,"Chu, Jiayue",Highly accelerated MRI via implicit neural representation guided posterior sampling of diffusion models,Medical Image Analysis,,,
185,preprint,2025,"Alam, Bashir; Cirkovic, Masa; Akcay, Mete Harun; Shahrier, Md Kaf; Lafond, Sebastien; Rexha, Hergys; Benke, Kurt; Azimi, Sepinoud; Arslan, Janan",CALF: A Conditionally Adaptive Loss Function to Mitigate Class-Imbalanced Segmentation,,10.48550/arXiv.2504.04458,http://arxiv.org/abs/2504.04458,
297,preprint,2025,"Wang, Shansong; Safari, Mojtaba; Li, Qiang; Chang, Chih-Wei; Qiu, Richard LJ; Roper, Justin; Yu, David S.; Yang, Xiaofeng",Triad: Vision Foundation Model for 3D Magnetic Resonance Imaging,,10.48550/arXiv.2502.14064,http://arxiv.org/abs/2502.14064,
984,preprint,2025,"Du, Yuning; Liu, Jingshuai; Dharmakumar, Rohan; Tsaftaris, Sotirios A.",Active Sampling for MRI-based Sequential Decision Making,,10.48550/arXiv.2505.04586,http://arxiv.org/abs/2505.04586,
988,preprint,2025,"Iollo, Jacopo; Oudoumanessah, Geoffroy; Lartizien, Carole; Dojat, Michel; Forbes, Florence",Active MRI Acquisition with Diffusion Guided Bayesian Experimental Design,,10.48550/arXiv.2506.16237,http://arxiv.org/abs/2506.16237,
2183,preprint,2025,"Nath, Vishwesh; Li, Wenqi; Yang, Dong; Myronenko, Andriy; Zheng, Mingxin; Lu, Yao; Liu, Zhijian; Yin, Hongxu; Tang, Yucheng; Guo, Pengfei; Zhao, Can; Xu, Ziyue; He, Yufan; Heinrich, Greg; Law, Yee Man; Simon, Benjamin; Harmon, Stephanie; Aylward, Stephen; Edgar, Marc; Zephyr, Michael; Han, Song; Molchanov, Pavlo; Turkbey, Baris; Roth, Holger; Xu, Daguang",VILA-M3: Enhancing Vision-Language Models with Medical Expert Knowledge,,10.48550/arXiv.2411.12915,http://arxiv.org/abs/2411.12915,
