Key,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Conference Name
1045,preprint,2026,"Deng, Mingyang; Li, He; Li, Tianhong; Du, Yilun; He, Kaiming",Generative Modeling via Drifting,,10.48550/arXiv.2602.04770,http://arxiv.org/abs/2602.04770,
232,preprint,2025,"Wang, Guan; Li, Jin; Sun, Yuhao; Chen, Xing; Liu, Changling; Wu, Yue; Lu, Meng; Song, Sen; Yadkori, Yasin Abbasi",Hierarchical Reasoning Model,,10.48550/arXiv.2506.21734,http://arxiv.org/abs/2506.21734,
272,journalArticle,2025,"Liu, Zechun; Zhao, Changsheng; Fedorov, Igor; Soran, Bilge; Choudhary, Dhruv; Krishnamoorthi, Raghuraman; Chandra, Vikas; Tian, Yuandong; Blankevoort, Tijmen",SP I NQU A N T : LLM QUANTIZATION WITH LEARNED ROTATIONS,,,,
277,preprint,2025,"Pan, Chenbin; He, Wenbin; Tu, Zhengzhong; Ren, Liu",DINO-R1: Incentivizing Reasoning Capability in Vision Foundation Models,,10.48550/arXiv.2505.24025,http://arxiv.org/abs/2505.24025,
281,preprint,2025,"Li, Bingchen; Li, Xin; Lu, Yiting; Chen, Zhibo",Hybrid Agents for Image Restoration,,10.48550/arXiv.2503.10120,http://arxiv.org/abs/2503.10120,
282,preprint,2025,"Zhou, Yingjie; Cao, Jiezhang; Zhang, Zicheng; Wen, Farong; Jiang, Yanwei; Jia, Jun; Liu, Xiaohong; Min, Xiongkuo; Zhai, Guangtao",Q-Agent: Quality-Driven Chain-of-Thought Image Restoration Agent through Robust Multimodal Large Language Model,,10.48550/arXiv.2504.07148,http://arxiv.org/abs/2504.07148,
325,preprint,2025,"Darlow, Luke; Regan, Ciaran; Risi, Sebastian; Seely, Jeffrey; Jones, Llion",Continuous Thought Machines,,10.48550/arXiv.2505.05522,http://arxiv.org/abs/2505.05522,
341,preprint,2025,"Chen, Qiguang; Qin, Libo; Liu, Jinhao; Peng, Dengyun; Guan, Jiannan; Wang, Peng; Hu, Mengkang; Zhou, Yuhang; Gao, Te; Che, Wanxiang",Towards Reasoning Era: A Survey of Long Chain-of-Thought for Reasoning Large Language Models,,10.48550/arXiv.2503.09567,http://arxiv.org/abs/2503.09567,
343,preprint,2025,"Wang, Shangshang; Asilis, Julian; Akgül, Ömer Faruk; Bilgin, Enes Burak; Liu, Ollie; Neiswanger, Willie",Tina: Tiny Reasoning Models via LoRA,,10.48550/arXiv.2504.15777,http://arxiv.org/abs/2504.15777,
349,preprint,2025,"Zhang, Anqi; Chen, Yulin; Pan, Jane; Zhao, Chen; Panda, Aurojit; Li, Jinyang; He, He",Reasoning Models Know When They're Right: Probing Hidden States for Self-Verification,,10.48550/arXiv.2504.05419,http://arxiv.org/abs/2504.05419,
57,preprint,2025,"Bae, Sangmin; Fisch, Adam; Harutyunyan, Hrayr; Ji, Ziwei; Kim, Seungyeon; Schuster, Tal",Relaxed Recursive Transformers: Effective Parameter Sharing with Layer-wise LoRA,,10.48550/arXiv.2410.20672,http://arxiv.org/abs/2410.20672,
247,preprint,2025,"Schnaus, Dominik; Araslanov, Nikita; Cremers, Daniel",It's a (Blind) Match! Towards Vision-Language Correspondence without Parallel Data,,10.48550/arXiv.2503.24129,http://arxiv.org/abs/2503.24129,
248,preprint,2025,"Jha, Rishi; Zhang, Collin; Shmatikov, Vitaly; Morris, John X.",Harnessing the Universal Geometry of Embeddings,,10.48550/arXiv.2505.12540,http://arxiv.org/abs/2505.12540,
249,preprint,2025,"Jeon, Hyeon; Park, Jeongin; Shin, Sungbok; Seo, Jinwook",Stop Misusing t-SNE and UMAP for Visual Analytics,,10.48550/arXiv.2506.08725,http://arxiv.org/abs/2506.08725,
351,preprint,2025,"Bolya, Daniel; Huang, Po-Yao; Sun, Peize; Cho, Jang Hyun; Madotto, Andrea; Wei, Chen; Ma, Tengyu; Zhi, Jiale; Rajasegaran, Jathushan; Rasheed, Hanoona; Wang, Junke; Monteiro, Marco; Xu, Hu; Dong, Shiyu; Ravi, Nikhila; Li, Daniel; Dollár, Piotr; Feichtenhofer, Christoph",Perception Encoder: The best visual embeddings are not at the output of the network,,10.48550/arXiv.2504.13181,http://arxiv.org/abs/2504.13181,
361,preprint,2025,"Garrido, Quentin; Ballas, Nicolas; Assran, Mahmoud; Bardes, Adrien; Najman, Laurent; Rabbat, Michael; Dupoux, Emmanuel; LeCun, Yann",Intuitive physics understanding emerges from self-supervised pretraining on natural videos,,10.48550/arXiv.2502.11831,http://arxiv.org/abs/2502.11831,
263,preprint,2024,"Feng, Yunlong; Xu, Yang; Qin, Libo; Wang, Yasheng; Che, Wanxiang",Improving Language Model Reasoning with Self-motivated Learning,,10.48550/arXiv.2404.07017,http://arxiv.org/abs/2404.07017,
274,preprint,2024,"Springer, Jacob Mitchell; Kotha, Suhas; Fried, Daniel; Neubig, Graham; Raghunathan, Aditi",Repetition Improves Language Model Embeddings,,10.48550/arXiv.2402.15449,http://arxiv.org/abs/2402.15449,
286,preprint,2024,"Chen, Lichang; Hu, Hexiang; Zhang, Mingda; Chen, Yiwen; Wang, Zifeng; Li, Yandong; Shyam, Pranav; Zhou, Tianyi; Huang, Heng; Yang, Ming-Hsuan; Gong, Boqing",OmnixR: Evaluating Omni-modality Language Models on Reasoning across Modalities,,10.48550/arXiv.2410.12219,http://arxiv.org/abs/2410.12219,
339,preprint,2024,"Wu, Siwei; Peng, Zhongyuan; Du, Xinrun; Zheng, Tuney; Liu, Minghao; Wu, Jialong; Ma, Jiachen; Li, Yizhi; Yang, Jian; Zhou, Wangchunshu; Lin, Qunshu; Zhao, Junbo; Zhang, Zhaoxiang; Huang, Wenhao; Zhang, Ge; Lin, Chenghua; Liu, J. H.",A Comparative Study on Reasoning Patterns of OpenAI's o1 Model,,10.48550/arXiv.2410.13639,http://arxiv.org/abs/2410.13639,
350,preprint,2024,"Cao, Jin; Meng, Deyu; Cao, Xiangyong",Chain-of-Restoration: Multi-Task Image Restoration Models are Zero-Shot Step-by-Step Universal Image Restorers,,10.48550/arXiv.2410.08688,http://arxiv.org/abs/2410.08688,
287,preprint,2024,"Souza, Matheus; Zheng, Yidan; Kang, Kaizhang; Mishra, Yogeshwar Nath; Fu, Qiang; Heidrich, Wolfgang",Latent Space Imaging,,10.48550/arXiv.2407.07052,http://arxiv.org/abs/2407.07052,
330,preprint,2024,"Xiong, Yuwen; Li, Zhiqi; Chen, Yuntao; Wang, Feng; Zhu, Xizhou; Luo, Jiapeng; Wang, Wenhai; Lu, Tong; Li, Hongsheng; Qiao, Yu; Lu, Lewei; Zhou, Jie; Dai, Jifeng",Efficient Deformable ConvNets: Rethinking Dynamic and Sparse Operator for Vision Applications,,10.48550/arXiv.2401.06197,http://arxiv.org/abs/2401.06197,
331,preprint,2023,"Beyer, Lucas; Izmailov, Pavel; Kolesnikov, Alexander; Caron, Mathilde; Kornblith, Simon; Zhai, Xiaohua; Minderer, Matthias; Tschannen, Michael; Alabdulmohsin, Ibrahim; Pavetic, Filip",FlexiViT: One Model for All Patch Sizes,,10.48550/arXiv.2212.08013,http://arxiv.org/abs/2212.08013,
2609,preprint,2021,"Gabbay, Aviv; Cohen, Niv; Hoshen, Yedid",An Image is Worth More Than a Thousand Words: Towards Disentanglement in the Wild,,10.48550/arXiv.2106.15610,http://arxiv.org/abs/2106.15610,
52,preprint,2017,"Larsson, Gustav; Maire, Michael; Shakhnarovich, Gregory",FractalNet: Ultra-Deep Neural Networks without Residuals,,10.48550/arXiv.1605.07648,http://arxiv.org/abs/1605.07648,
275,journalArticle,,"Shojaee, Parshin; Mirzadeh, Iman; Alizadeh, Keivan; Horton, Maxwell; Bengio, Samy; Farajtabar, Mehrdad",The Illusion of Thinking: Understanding the Strengths and Limitations of Reasoning Models via the Lens of Problem Complexity,,,,
1492,journalArticle,,"Anagnostidis, Sotiris; Bachmann, Gregor; Kim, Yeongmin; Kohler, Jonas; Georgopoulos, Markos; Sanakoyeu, Artsiom; Du, Yuming; Pumarola, Albert; Thabet, Ali; Schonfeld, Edgar",FlexiDiT: Your Diffusion Transformer Can Easily Generate High-Quality Samples with Less Compute,,,,
