Key,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Conference Name
230,preprint,2025,"You, Chong; Wu, Kan; Jia, Zhipeng; Chen, Lin; Bhojanapalli, Srinadh; Guo, Jiaxian; Evci, Utku; Wassenberg, Jan; Netrapalli, Praneeth; Willcock, Jeremiah J.; Subramanian, Suvinay; Chern, Felix; Andreev, Alek; Pathak, Shreya; Yu, Felix; Jain, Prateek; Culler, David E.; Levy, Henry M.; Kumar, Sanjiv",Spark Transformer: Reactivating Sparsity in FFN and Attention,,10.48550/arXiv.2506.06644,http://arxiv.org/abs/2506.06644,
231,preprint,2025,"Bachmann, Roman; Allardice, Jesse; Mizrahi, David; Fini, Enrico; Kar, Oğuzhan Fatih; Amirloo, Elmira; El-Nouby, Alaaeldin; Zamir, Amir; Dehghan, Afshin",FlexTok: Resampling Images into 1D Token Sequences of Flexible Length,,10.48550/arXiv.2502.13967,http://arxiv.org/abs/2502.13967,
236,preprint,2025,"Zhang, Ce; Ma, Kaixin; Fang, Tianqing; Yu, Wenhao; Zhang, Hongming; Zhang, Zhisong; Xie, Yaqi; Sycara, Katia; Mi, Haitao; Yu, Dong",VScan: Rethinking Visual Token Reduction for Efficient Large Vision-Language Models,,10.48550/arXiv.2505.22654,http://arxiv.org/abs/2505.22654,
238,preprint,2025,"Yang, Cheng; Sui, Yang; Xiao, Jinqi; Huang, Lingyi; Gong, Yu; Li, Chendi; Yan, Jinghua; Bai, Yu; Sadayappan, Ponnuswamy; Hu, Xia; Yuan, Bo",TopV: Compatible Token Pruning with Inference Time Optimization for Fast and Low-Memory Multimodal Vision Language Model,,10.48550/arXiv.2503.18278,http://arxiv.org/abs/2503.18278,
239,preprint,2025,"Jeddi, Ahmadreza; Baghbanzadeh, Negin; Dolatabadi, Elham; Taati, Babak",Similarity-Aware Token Pruning: Your VLM but Faster,,10.48550/arXiv.2503.11549,http://arxiv.org/abs/2503.11549,
240,preprint,2025,"Zeng, Fanhu; Yu, Deli; Kong, Zhenglun; Tang, Hao",Token Transforming: A Unified and Training-Free Token Compression Framework for Vision Transformer Acceleration,,10.48550/arXiv.2506.05709,http://arxiv.org/abs/2506.05709,
243,preprint,2025,"Kutscher, Declan; Chan, David M.; Bai, Yutong; Darrell, Trevor; Gupta, Ritwik",REOrdering Patches Improves Vision Models,,10.48550/arXiv.2505.23751,http://arxiv.org/abs/2505.23751,
266,preprint,2025,"Kutscher, Declan; Chan, David M.; Bai, Yutong; Darrell, Trevor; Gupta, Ritwik",REOrdering Patches Improves Vision Models,,10.48550/arXiv.2505.23751,http://arxiv.org/abs/2505.23751,
268,preprint,2025,"Vasu, Pavan Kumar Anasosalu; Faghri, Fartash; Li, Chun-Liang; Koc, Cem; True, Nate; Antony, Albert; Santhanam, Gokul; Gabriel, James; Grasch, Peter; Tuzel, Oncel; Pouransari, Hadi",FastVLM: Efficient Vision Encoding for Vision Language Models,,10.48550/arXiv.2412.13303,http://arxiv.org/abs/2412.13303,
273,preprint,2025,"Liu, Zechun; Zhao, Changsheng; Fedorov, Igor; Soran, Bilge; Choudhary, Dhruv; Krishnamoorthi, Raghuraman; Chandra, Vikas; Tian, Yuandong; Blankevoort, Tijmen",SpinQuant: LLM quantization with learned rotations,,10.48550/arXiv.2405.16406,http://arxiv.org/abs/2405.16406,
278,preprint,2025,"Liu, Zechun; Zhao, Changsheng; Huang, Hanxian; Chen, Sijia; Zhang, Jing; Zhao, Jiawei; Roy, Scott; Jin, Lisa; Xiong, Yunyang; Shi, Yangyang; Xiao, Lin; Tian, Yuandong; Soran, Bilge; Krishnamoorthi, Raghuraman; Blankevoort, Tijmen; Chandra, Vikas",ParetoQ: Scaling Laws in Extremely Low-bit LLM Quantization,,10.48550/arXiv.2502.02631,http://arxiv.org/abs/2502.02631,
60,preprint,2025,"Shen, Junhong; Tirumala, Kushal; Yasunaga, Michihiro; Misra, Ishan; Zettlemoyer, Luke; Yu, Lili; Zhou, Chunting",CAT: Content-Adaptive Image Tokenization,,10.48550/arXiv.2501.03120,http://arxiv.org/abs/2501.03120,
242,preprint,2024,"Bergner, Benjamin; Lippert, Christoph; Mahendran, Aravindh",Token Cropr: Faster ViTs for Quite a Few Tasks,,10.48550/arXiv.2412.00965,http://arxiv.org/abs/2412.00965,
250,preprint,2024,"Yoa, Seungdong; Lee, Seungjun; Cho, Hyeseung; Kim, Bumsoo; Lim, Woohyung",ImagePiece: Content-aware Re-tokenization for Efficient Image Recognition,,10.48550/arXiv.2412.16491,http://arxiv.org/abs/2412.16491,
265,preprint,2024,"Yoa, Seungdong; Lee, Seungjun; Cho, Hyeseung; Kim, Bumsoo; Lim, Woohyung",ImagePiece: Content-aware Re-tokenization for Efficient Image Recognition,,10.48550/arXiv.2412.16491,http://arxiv.org/abs/2412.16491,
237,journalArticle,,"Lee, Dong Hoon; Hong, Seunghoon",Learning to Merge Tokens via Decoupled Embedding for Efficient Vision Transformers,,,,
