Key,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Conference Name
1055,preprint,2025,"Jin, Cheng; Xiao, Zhenyu; Liu, Chutao; Gu, Yuantao",Angle Domain Guidance: Latent Diffusion Requires Rotation Rather Than Extrapolation,,10.48550/arXiv.2506.11039,http://arxiv.org/abs/2506.11039,
191,preprint,2025,"Tang, Zhihong; Li, Yang",GL-PGENet: A Parameterized Generation Framework for Robust Document Image Enhancement,,10.48550/arXiv.2505.22021,http://arxiv.org/abs/2505.22021,
207,preprint,2025,"Zhu, Kaiwen; Gu, Jinjin; You, Zhiyuan; Qiao, Yu; Dong, Chao",An Intelligent Agentic System for Complex Image Restoration Problems,,10.48550/arXiv.2410.17809,http://arxiv.org/abs/2410.17809,
208,preprint,2025,"Zuo, Yushen; Zheng, Qi; Wu, Mingyang; Jiang, Xinrui; Li, Renjie; Wang, Jian; Zhang, Yide; Mai, Gengchen; Wang, Lihong V.; Zou, James; Wang, Xiaoyu; Yang, Ming-Hsuan; Tu, Zhengzhong",4KAgent: Agentic Any Image to 4K Super-Resolution,,10.48550/arXiv.2507.07105,http://arxiv.org/abs/2507.07105,
347,preprint,2025,"Li, Bingchen; Li, Xin; Lu, Yiting; Chen, Zhibo",Hybrid Agents for Image Restoration,,10.48550/arXiv.2503.10120,http://arxiv.org/abs/2503.10120,
33,computerProgram,2025,jingyi0000,jingyi0000/VLM_survey,,,https://github.com/jingyi0000/VLM_survey,
35,journalArticle,2025,"Gavrikov, Paul; Lukasik, Jovita; Jung, Steffen; Geirhos, Robert; Mirza, M Jehanzeb; Keuper, Margret; Keuper, Janis",CAN WE TALK MODELS INTO SEEING THE WORLD DIFFERENTLY?,,,,
241,preprint,2025,"Assran, Mido; Bardes, Adrien; Fan, David; Garrido, Quentin; Howes, Russell; Mojtaba; Komeili; Muckley, Matthew; Rizvi, Ammar; Roberts, Claire; Sinha, Koustuv; Zholus, Artem; Arnaud, Sergio; Gejji, Abha; Martin, Ada; Hogan, Francois Robert; Dugas, Daniel; Bojanowski, Piotr; Khalidov, Vasil; Labatut, Patrick; Massa, Francisco; Szafraniec, Marc; Krishnakumar, Kapil; Li, Yong; Ma, Xiaodong; Chandar, Sarath; Meier, Franziska; LeCun, Yann; Rabbat, Michael; Ballas, Nicolas","V-JEPA 2: Self-Supervised Video Models Enable Understanding, Prediction and Planning",,10.48550/arXiv.2506.09985,http://arxiv.org/abs/2506.09985,
245,preprint,2025,"Upadhyay, Ujjwal; Ranjan, Mukul; Shen, Zhiqiang; Elhoseiny, Mohamed",Time Blindness: Why Video-Language Models Can't See What Humans Can?,,10.48550/arXiv.2505.24867,http://arxiv.org/abs/2505.24867,
246,preprint,2025,"Schnaus, Dominik; Araslanov, Nikita; Cremers, Daniel",It's a (Blind) Match! Towards Vision-Language Correspondence without Parallel Data,,10.48550/arXiv.2503.24129,http://arxiv.org/abs/2503.24129,
251,preprint,2025,"Azad, Shehreen; Jain, Yash; Garg, Rishit; Rawat, Yogesh S.; Vineet, Vibhav",Understanding Depth and Height Perception in Large Visual-Language Models,,10.48550/arXiv.2408.11748,http://arxiv.org/abs/2408.11748,
267,preprint,2025,"Vasu, Pavan Kumar Anasosalu; Faghri, Fartash; Li, Chun-Liang; Koc, Cem; True, Nate; Antony, Albert; Santhanam, Gokul; Gabriel, James; Grasch, Peter; Tuzel, Oncel; Pouransari, Hadi",FastVLM: Efficient Vision Encoding for Vision Language Models,,10.48550/arXiv.2412.13303,http://arxiv.org/abs/2412.13303,
268,preprint,2025,"Vasu, Pavan Kumar Anasosalu; Faghri, Fartash; Li, Chun-Liang; Koc, Cem; True, Nate; Antony, Albert; Santhanam, Gokul; Gabriel, James; Grasch, Peter; Tuzel, Oncel; Pouransari, Hadi",FastVLM: Efficient Vision Encoding for Vision Language Models,,10.48550/arXiv.2412.13303,http://arxiv.org/abs/2412.13303,
302,preprint,2025,"Ma, Jun; Yang, Zongxin; Kim, Sumin; Chen, Bihui; Baharoon, Mohammed; Fallahpour, Adibvafa; Asakereh, Reza; Lyu, Hongwei; Wang, Bo",MedSAM2: Segment Anything in 3D Medical Images and Videos,,10.48550/arXiv.2504.03600,http://arxiv.org/abs/2504.03600,
348,preprint,2025,"Bolya, Daniel; Huang, Po-Yao; Sun, Peize; Cho, Jang Hyun; Madotto, Andrea; Wei, Chen; Ma, Tengyu; Zhi, Jiale; Rajasegaran, Jathushan; Rasheed, Hanoona; Wang, Junke; Monteiro, Marco; Xu, Hu; Dong, Shiyu; Ravi, Nikhila; Li, Daniel; Dollár, Piotr; Feichtenhofer, Christoph",Perception Encoder: The best visual embeddings are not at the output of the network,,10.48550/arXiv.2504.13181,http://arxiv.org/abs/2504.13181,
1056,preprint,2024,"Gurnee, Wes; Tegmark, Max",Language Models Represent Space and Time,,10.48550/arXiv.2310.02207,http://arxiv.org/abs/2310.02207,
345,preprint,2024,"Chen, Haoyu; Li, Wenbo; Gu, Jinjin; Ren, Jingjing; Chen, Sixiang; Ye, Tian; Pei, Renjing; Zhou, Kaiwen; Song, Fenglong; Zhu, Lei",RestoreAgent: Autonomous Image Restoration Agent via Multimodal Large Language Models,,10.48550/arXiv.2407.18035,http://arxiv.org/abs/2407.18035,
